,CaptureEventID,Date,Time (24 hour),Month (1=Jan.),Year,Species,Number Of Animals,Standing,Resting,Moving,Eating,Interacting,Babies,Camera Site,Longitude (m),Latitude (m),Habitat,Amount of Shade,Distance to River (m),Distance to Confluence (m),Distance to Kopje (m),Tree Density Measure,Lion Risk (Wet),Lion Risk (Dry),Greeness (Wet),Greeness (Dry),Camera Mount
1,ASG0002kjh,7/18/10,4:26:14 PM,7,2010,human,1,1,0,0,0,1,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
2,ASG0002kji,7/18/10,4:26:30 PM,7,2010,human,2,0,1,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
3,ASG0002kjm,7/24/10,8:20:10 AM,7,2010,gazelleGrants,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
4,ASG0002kjn,7/24/10,10:14:32 AM,7,2010,reedbuck,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
5,ASG0002kjo,7/30/10,3:59:42 AM,7,2010,dikDik,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
6,ASG0002kjp,7/30/10,5:20:22 AM,7,2010,zebra,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
7,ASG0002kjs,7/30/10,8:57:28 PM,7,2010,zebra,1,0,0,0,1,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
8,ASG0002kjt,8/1/10,5:35:58 PM,8,2010,gazelleGrants,3,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
9,ASG0002kjx,8/5/10,2:24:04 AM,8,2010,zebra,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
10,ASG0002kjy,8/5/10,2:29:02 AM,8,2010,zebra,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
11,ASG0002kk0,8/5/10,2:57:04 AM,8,2010,zebra,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
12,ASG0002kk2,8/10/10,6:35:06 PM,8,2010,human,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
13,ASG0002kk3,8/10/10,6:41:06 PM,8,2010,human,1,0,0,0,0,1,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
14,ASG0002kk4,8/10/10,6:41:30 PM,8,2010,human,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
15,ASG0002kk4,8/10/10,6:41:30 PM,8,2010,human,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
16,ASG0002kk4,8/10/10,6:41:30 PM,8,2010,human,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
17,ASG0002kk5,8/10/10,6:43:08 PM,8,2010,human,1,0,0,0,0,1,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
18,ASG0002kk5,8/10/10,6:43:08 PM,8,2010,human,1,0,0,0,0,1,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
19,ASG0002kk5,8/10/10,6:43:08 PM,8,2010,human,1,0,0,0,0,1,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
20,ASG0002kk6,8/10/10,6:44:12 PM,8,2010,human,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
21,ASG0002kk6,8/10/10,6:44:12 PM,8,2010,human,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
22,ASG0002kk6,8/10/10,6:44:12 PM,8,2010,human,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
23,ASG0002kk7,8/10/10,6:44:46 PM,8,2010,human,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
24,ASG0002kk7,8/10/10,6:44:46 PM,8,2010,human,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
25,ASG0002kk7,8/10/10,6:44:46 PM,8,2010,human,1,1,0,0,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
26,ASG0002kk9,8/20/10,3:37:00 AM,8,2010,porcupine,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
27,ASG0002kk9,8/20/10,3:37:00 AM,8,2010,porcupine,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
28,ASG0002kk9,8/20/10,3:37:00 AM,8,2010,porcupine,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
29,ASG0002kka,8/24/10,9:27:50 AM,8,2010,human,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
30,ASG0002kka,8/24/10,9:27:50 AM,8,2010,human,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
31,ASG0002kka,8/24/10,9:27:50 AM,8,2010,human,1,0,0,1,0,0,0,B04,695238,9729497,Dense Woodland,3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,Tree
32,ASG0000013,7/20/10,12:08:30 PM,7,2010,human,1,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
33,ASG0000014,7/20/10,12:09:02 PM,7,2010,human,1,0,0,1,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
34,ASG0000019,7/21/10,5:55:46 AM,7,2010,elephant,1,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
35,ASG000001a,7/21/10,5:27:14 PM,7,2010,elephant,1,0,0,1,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
36,ASG000001b,7/22/10,4:49:22 AM,7,2010,leopard,1,0,0,1,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
37,ASG000001d,7/22/10,7:47:24 AM,7,2010,giraffe,1,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
38,ASG000001h,7/23/10,8:27:38 AM,7,2010,dikDik,1,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
39,ASG000001k,7/25/10,7:14:14 AM,7,2010,gazelleThomsons,1,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
40,ASG000001m,7/25/10,8:49:18 AM,7,2010,impala,6,1,0,0,1,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
41,ASG000001n,7/25/10,8:55:54 AM,7,2010,impala,1,1,0,1,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
42,ASG000001t,7/28/10,12:18:24 AM,7,2010,reedbuck,1,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
43,ASG000001u,7/28/10,12:25:14 AM,7,2010,dikDik,1,0,0,1,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
44,ASG000001x,7/29/10,10:47:32 AM,7,2010,zebra,5,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
45,ASG000001y,7/29/10,10:51:52 AM,7,2010,zebra,1,0,0,1,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
46,ASG0000023,7/31/10,10:51:36 AM,7,2010,elephant,2,0,0,1,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
47,ASG0000024,7/31/10,10:54:42 AM,7,2010,elephant,3,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
48,ASG0000025,7/31/10,12:19:46 PM,7,2010,elephant,6,0,0,1,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
49,ASG0000026,7/31/10,3:26:40 PM,7,2010,gazelleGrants,1,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
50,ASG000002c,8/1/10,4:28:02 PM,8,2010,zebra,1,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
51,ASG000002e,8/2/10,3:22:52 PM,8,2010,elephant,1,1,0,0,0,0,0,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
52,ASG000002f,8/2/10,3:25:58 PM,8,2010,elephant,3,1,0,0,0,0,1,B06,694963,9724748,Dense Woodland,1.5,2935.747739,1104.754274,4573.639611,6.342857143,0.000579536,0.001216255,5703.222222,4065.888889,Tree
