Genbank ID,Gene,Gene_category,Subcategory1,Subcategory2,Lineage,control_a,control_b,control_c,control_d,control_e,control_f,heat_a,heat_b,heat_c,heat_d,heat_e,heat_f
299750604,axe,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Psathyrellaceae;genus:Coprinopsis;species:Coprinopsis cinerea;,2513.4168,1905.606,1107.1834,2259.7119,1763.5752,1838.8698,1792.7106,1773.071,1825.6768,1518.7114,1459.0173,1333.5485
169867023,axe,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Psathyrellaceae;genus:Coprinopsis;species:Coprinopsis cinerea;,0,0,0,0,0,0,0,0,0,0,0,0
302694511,axe,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Schizophyllaceae;genus:Schizophyllum;species:Schizophyllum commune;,1598.9716,1158.3782,1175.8349,1408.3956,1434.0792,1431.9649,2869.7345,1323.4068,1678.8335,1210.959,1467.8617,1232.7262
300111343,axe,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Schizophyllaceae;genus:Schizophyllum;species:Schizophyllum commune;,2206.209,1975.8617,1132.7544,2033.0197,1350.1889,1993.1765,2425.2461,1716.4246,2017.7844,1487.6804,1328.7537,1518.6861
302695935,axe,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Schizophyllaceae;genus:Schizophyllum;species:Schizophyllum commune;,601.4858,462.5974,575.7932,606.1233,879.2799,721.7614,2227.9949,562.0007,608.0893,844.6657,748.9104,661.2459
353247761,axe,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Sebacinales;family:Sebacinaceae;genus:Piriformospora;,740.2236,553.4469,667.9516,832.6724,722.399,832.7111,0,673.5241,842.904,828.8722,868.8262,698.9772
238602074,cellobiase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Marasmiaceae;genus:Moniliophthora;species:Moniliophthora perniciosa;,523.977,354.7166,413.4272,762.8028,786.5994,0,0,467.1814,766.4714,858.3898,605.7118,463.1558
238596433,cellobiase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Marasmiaceae;genus:Moniliophthora;species:Moniliophthora perniciosa;,0,0,0,0,0,0,0,0,0,0,0,0
299755823,cellobiase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Psathyrellaceae;genus:Coprinopsis;species:Coprinopsis cinerea;,445.8315,379.5346,435.412,0,0,511.8613,0,0,0,0,0,0
89941453,cellobiase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Corticiales;family:Corticiaceae;genus:Phanerochaete;,1680.9952,1345.5087,1873.7259,1556.4919,2058.0805,1828.1424,3298.6527,1874.0735,2072.376,1857.9416,2666.8193,1867.8349
3320413,cellobiase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Corticiales;family:Corticiaceae;genus:Phanerochaete;,899.3445,628.9799,594.0777,974.6451,1067.8217,836.7801,0,848.4876,744.5027,0,1103.9043,857.9559
19352194,cellobiase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Corticiales;family:Corticiaceae;genus:Phanerochaete;,0,320.2148,390.8972,0,0,422.7317,0,0,493.501,0,593.3057,362.3218
242208680,cellobiase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Polyporales;family:Coriolaceae;genus:Postia;species:Postia placenta;,601.9073,340.8482,0,0,0,719.9762,0,0,0,0,0,0
116506366,endoglucanase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Psathyrellaceae;genus:Coprinopsis;species:Coprinopsis cinerea;,0,0,0,0,0,0,5424.8314,0,0,752.4129,0,500.5508
169851646,endoglucanase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Psathyrellaceae;genus:Coprinopsis;species:Coprinopsis cinerea;,884.0134,788.6629,817.4736,1276.3947,1160.769,1088.7367,0,1037.4939,1088.3559,1111.1257,1015.3823,870.8208
169858218,endoglucanase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Psathyrellaceae;genus:Coprinopsis;species:Coprinopsis cinerea;,1029.2483,864.5309,705.2438,1100.218,1095.1579,1041.5389,0,852.5779,1002.5891,854.7775,831.9677,864.6983
170085049,endoglucanase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Tricholomataceae;genus:Laccaria;species:Laccaria bicolor;,1635.5694,1300.2607,1047.4889,1646.0324,1309.8438,1478.8341,2333.1937,1406.8433,1708.3584,1407.393,1330.4159,1445.9988
170113590,endoglucanase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Tricholomataceae;genus:Laccaria;species:Laccaria bicolor;,456.9974,0,352.2065,578.9045,0,504.5791,0,0,0,0,0,0
21694047,endoglucanase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Corticiales;family:Corticiaceae;genus:Phanerochaete;,0,0,0,0,0,0,0,0,0,0,0,0
38175312,endoglucanase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Polyporales;family:Coriolaceae;genus:Trametes;,5222.7855,4904.4096,4342.0356,5825.839,5247.7525,6118.6225,3603.6147,5039.6066,5754.7946,4583.586,5210.1658,4495.8785
55295400,endoglucanase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Polyporales;genus:Irpex;,1782.6089,1684.1138,1107.4409,1518.0028,1233.4016,1798.0275,2245.9942,1567.1848,1754.4126,1285.7961,1170.4461,1309.1306
164598132,exoglucanase,Carbon Cycling,Carbon degradation,Cellulose,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Agaricales;family:Agaricaceae;genus:Chlorophyllum;,0,0,0,0,0,0,0,0,0,0,0,0
