Minutes,Heartrate
0,58
1,56
2,54
3,54
4,53
5,57
6,62
7,57
8,56
9,55
10,55
11,55
12,59
13,59
14,58
15,59
16,60
17,59
18,63
19,63
20,58
21,56
22,58
23,58
24,58
25,56
26,57
27,55
28,57
29,56
30,58
31,58
32,57
33,57
34,55
35,57
36,58
37,55
38,56
39,55
40,55
41,54
42,54
43,55
44,54
45,54
46,54
47,54
48,54
49,54
50,53
51,53
52,53
53,53
54,53
55,53
56,54
57,54
58,55
59,55
60,55
61,55
62,56
63,54
64,53
65,53
66,54
67,53
68,54
69,53
70,53
71,54
72,53
73,53
74,54
75,54
76,53
77,53
78,60
79,53
80,51
81,59
82,55
83,54
84,54
85,54
86,54
87,53
88,53
89,53
90,53
91,54
92,53
93,53
94,53
95,52
96,53
97,52
98,51
99,51
100,50
101,50
102,50
103,49
104,50
105,49
106,51
107,50
108,46
109,47
110,49
111,47
112,47
113,50
114,53
115,54
116,51
117,54
118,57
119,53
120,52
121,52
122,52
123,50
124,49
125,54
126,49
127,48
128,48
129,54
130,48
131,48
132,47
133,51
134,50
135,49
136,48
137,47
138,48
139,48
140,47
141,48
142,48
143,48
144,47
145,47
146,47
147,47
148,47
149,47
150,47
151,47
152,47
153,47
154,47
155,46
156,46
157,46
158,47
159,47
160,47
161,46
162,47
163,48
164,47
165,47
166,47
167,47
168,46
169,47
170,46
171,45
172,46
173,46
174,46
175,45
176,46
177,45
178,52
179,46
180,45
181,45
182,46
183,46
184,46
185,50
186,56
187,44
188,44
189,45
190,44
191,45
192,44
193,45
194,45
195,45
196,45
197,45
198,45
199,45
200,45
201,45
202,45
203,51
204,48
205,47
206,50
207,47
208,48
209,49
210,49
211,51
212,49
213,48
214,49
215,49
216,48
217,48
218,49
219,60
220,50
221,52
222,51
223,48
224,50
225,51
226,49
227,49
228,48
229,50
230,50
231,49
232,47
233,47
234,47
235,46
236,48
237,47
238,47
239,47
240,48
241,47
242,47
243,47
244,47
245,47
246,46
247,46
248,47
249,46
250,46
251,47
252,46
253,46
254,46
255,47
256,47
257,47
258,46
259,47
260,46
261,46
262,45
263,45
264,46
265,51
266,57
267,45
268,44
269,44
270,53
271,47
272,45
273,46
