Interval=	0.001 s
ExcelDateTime=	4.3789696833545400e+04	11/20/19 16:43:26.418323
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
0	1.953125
0.001	2.015625
0.002	1.8125
0.003	1.75
0.004	1.59375
0.005	1.5625
0.006	1.484375
0.007	1.453125
0.008	1.359375
0.009	1.296875
0.01	1.25
0.011	1.21875
0.012	1.15625
0.013	1.078125
0.014	0.984375
0.015	0.9375
0.016	0.90625
0.017	0.859375
0.018	0.859375
0.019	0.84375
0.02	0.765625
0.021	0.6875
0.022	0.65625
0.023	0.640625
0.024	0.609375
0.025	0.734375
0.026	0.765625
0.027	0.75
0.028	0.8125
0.029	0.765625
0.03	0.6875
0.031	0.734375
0.032	0.84375
0.033	0.78125
0.034	0.78125
0.035	0.84375
0.036	0.828125
0.037	0.765625
0.038	0.8125
0.039	0.875
0.04	0.71875
0.041	0.703125
0.042	0.765625
0.043	0.703125
0.044	0.625
0.045	0.65625
0.046	0.71875
0.047	0.546875
0.048	0.46875
0.049	0.453125
0.05	0.34375
0.051	0.265625
0.052	0.234375
0.053	0.3125
0.054	0.234375
0.055	0.09375
0.056	0.125
0.057	0.109375
0.058	0.03125
0.059	-0.0625
0.06	-0.09375
0.061	0
0.062	-0.125
0.063	-0.203125
0.064	-0.15625
0.065	-0.1875
0.066	-0.25
0.067	-0.421875
0.068	-0.453125
0.069	-0.328125
0.07	-0.46875
0.071	-0.46875
0.072	-0.3125
0.073	-0.34375
0.074	-0.359375
0.075	-0.375
0.076	-0.375
0.077	-0.3125
0.078	-0.21875
0.079	-0.125
0.08	-0.109375
0.081	0
0.082	0.015625
0.083	0.03125
0.084	0.109375
0.085	0.09375
0.086	0.203125
0.087	0.25
0.088	0.359375
0.089	0.484375
0.09	0.484375
0.091	0.6875
0.092	0.75
0.093	0.78125
0.094	0.875
0.095	0.90625
0.096	1.03125
0.097	1.09375
0.098	1.25
0.099	1.3125
0.1	1.34375
0.101	1.484375
0.102	1.484375
0.103	1.53125
0.104	1.625
0.105	1.703125
0.106	1.765625
0.107	1.8125
0.108	1.9375
0.109	1.984375
0.11	2.015625
0.111	2.125
0.112	2.1875
0.113	2.21875
0.114	2.21875
0.115	2.296875
0.116	2.359375
0.117	2.453125
0.118	2.546875
0.119	2.625
0.12	2.625
0.121	2.640625
0.122	2.734375
0.123	2.765625
0.124	2.828125
0.125	2.921875
0.126	3.03125
0.127	3.109375
0.128	3.171875
0.129	3.234375
0.13	3.25
0.131	3.25
0.132	3.28125
0.133	3.34375
0.134	3.390625
0.135	3.421875
0.136	3.5
0.137	3.515625
0.138	3.515625
0.139	3.53125
0.14	3.515625
0.141	3.53125
0.142	3.5625
0.143	3.625
0.144	3.6875
0.145	3.71875
0.146	3.6875
0.147	3.671875
0.148	3.6875
0.149	3.640625
0.15	3.578125
0.151	3.59375
0.152	3.625
0.153	3.59375
0.154	3.5625
0.155	3.5625
0.156	3.515625
0.157	3.46875
0.158	3.421875
0.159	3.40625
0.16	3.390625
0.161	3.359375
0.162	3.359375
0.163	3.375
0.164	3.328125
0.165	3.296875
0.166	3.25
0.167	3.1875
0.168	3.171875
0.169	3.140625
0.17	3.125
0.171	3.09375
0.172	3.0625
0.173	3.03125
0.174	2.96875
0.175	2.890625
0.176	2.84375
0.177	2.8125
0.178	2.765625
0.179	2.703125
0.18	2.6875
0.181	2.640625
0.182	2.5625
0.183	2.515625
0.184	2.4375
0.185	2.359375
0.186	2.296875
0.187	2.265625
0.188	2.25
0.189	2.21875
0.19	2.171875
0.191	2.15625
0.192	2.140625
0.193	2.109375
0.194	2.078125
0.195	2.09375
0.196	2.0625
0.197	2.078125
0.198	2.140625
0.199	2.109375
0.2	2.109375
0.201	2.125
0.202	2.125
0.203	2.140625
0.204	2.15625
0.205	2.1875
0.206	2.234375
0.207	2.265625
0.208	2.3125
0.209	2.328125
0.21	2.359375
0.211	2.421875
0.212	2.5
0.213	2.5625
0.214	2.625
0.215	2.703125
0.216	2.765625
0.217	2.828125
0.218	2.875
0.219	2.921875
0.22	2.96875
0.221	3.03125
0.222	3.109375
0.223	3.203125
0.224	3.265625
0.225	3.328125
0.226	3.40625
0.227	3.484375
0.228	3.53125
0.229	3.546875
0.23	3.625
0.231	3.6875
0.232	3.734375
0.233	3.78125
0.234	3.828125
0.235	3.875
0.236	3.90625
0.237	3.921875
0.238	3.921875
0.239	3.921875
0.24	3.9375
0.241	3.921875
0.242	3.90625
0.243	3.90625
0.244	3.90625
0.245	3.921875
0.246	3.859375
0.247	3.828125
0.248	3.78125
0.249	3.71875
0.25	3.65625
0.251	3.59375
0.252	3.546875
0.253	3.46875
0.254	3.40625
0.255	3.328125
0.256	3.25
0.257	3.125
0.258	3.015625
0.259	2.96875
0.26	2.90625
0.261	2.796875
0.262	2.734375
0.263	2.65625
0.264	2.5625
0.265	2.46875
0.266	2.375
0.267	2.296875
0.268	2.203125
0.269	2.109375
0.27	2.015625
0.271	1.9375
0.272	1.84375
0.273	1.78125
0.274	1.703125
0.275	1.609375
0.276	1.546875
0.277	1.5
0.278	1.46875
0.279	1.40625
0.28	1.359375
0.281	1.34375
0.282	1.28125
0.283	1.21875
0.284	1.1875
0.285	1.140625
0.286	1.125
0.287	1.09375
0.288	1.09375
0.289	1.078125
0.29	1.03125
0.291	1
0.292	1
0.293	1
0.294	1
0.295	1
0.296	1.015625
0.297	1.015625
0.298	1.03125
0.299	1.03125
0.3	0.984375
0.301	0.984375
0.302	0.984375
0.303	0.953125
0.304	0.9375
0.305	0.953125
0.306	0.984375
0.307	1
0.308	1.03125
0.309	1.0625
0.31	1.09375
0.311	1.109375
0.312	1.140625
0.313	1.203125
0.314	1.25
0.315	1.28125
0.316	1.296875
0.317	1.328125
0.318	1.34375
0.319	1.34375
0.32	1.375
0.321	1.390625
0.322	1.40625
0.323	1.4375
0.324	1.46875
0.325	1.484375
0.326	1.5
0.327	1.53125
0.328	1.53125
0.329	1.53125
0.33	1.53125
0.331	1.53125
0.332	1.53125
0.333	1.5
0.334	1.484375
0.335	1.46875
0.336	1.421875
0.337	1.40625
0.338	1.375
0.339	1.359375
0.34	1.34375
0.341	1.296875
0.342	1.265625
0.343	1.234375
0.344	1.21875
0.345	1.203125
0.346	1.171875
0.347	1.125
0.348	1.109375
0.349	1.09375
0.35	1.046875
0.351	1.03125
0.352	1.03125
0.353	1.015625
0.354	0.984375
0.355	0.953125
0.356	0.953125
0.357	0.9375
0.358	0.890625
0.359	0.875
0.36	0.84375
0.361	0.796875
0.362	0.734375
0.363	0.65625
0.364	0.5625
0.365	0.375
0.366	0.125
0.367	-0.171875
0.368	-0.703125
0.369	-1.3125
0.37	-2.03125
0.371	-3.09375
0.372	-4.328125
0.373	-5.75
0.374	-7.140625
0.375	-8.234375
0.376	-9.3125
0.377	-10.1875
0.378	-10.84375
0.379	-11.48438
0.38	-11.8125
0.381	-11.75
0.382	-11.57812
0.383	-11.39062
0.384	-10.875
0.385	-10.1875
0.386	-9.703125
0.387	-9.21875
0.388	-8.40625
0.389	-7.609375
0.39	-6.828125
0.391	-6
0.392	-5.21875
0.393	-4.46875
0.394	-3.734375
0.395	-3.109375
0.396	-2.546875
0.397	-2.09375
0.398	-1.578125
0.399	-1.171875
0.4	-0.921875
0.401	-0.6875
0.402	-0.546875
0.403	-0.375
0.404	-0.3125
0.405	-0.3125
0.406	-0.328125
0.407	-0.4375
0.408	-0.578125
0.409	-0.625
0.41	-0.78125
0.411	-0.921875
0.412	-1.078125
0.413	-1.171875
0.414	-1.28125
0.415	-1.390625
0.416	-1.515625
0.417	-1.640625
0.418	-1.75
0.419	-1.890625
0.42	-1.90625
0.421	-2
0.422	-2.140625
0.423	-2.1875
0.424	-2.265625
0.425	-2.265625
0.426	-2.1875
0.427	-2.1875
0.428	-2.125
0.429	-2.109375
0.43	-2.171875
0.431	-2.015625
0.432	-1.890625
0.433	-1.828125
0.434	-1.65625
0.435	-1.53125
0.436	-1.3125
0.437	-1.15625
0.438	-0.953125
0.439	-0.796875
0.44	-0.59375
0.441	-0.46875
0.442	-0.234375
0.443	0.15625
0.444	0.359375
0.445	0.625
0.446	0.828125
0.447	1.140625
0.448	1.421875
0.449	1.75
0.45	2.015625
0.451	2.34375
0.452	2.6875
0.453	2.9375
0.454	3.34375
0.455	3.734375
0.456	4.015625
0.457	4.390625
0.458	4.796875
0.459	5.203125
0.46	5.609375
0.461	6.0625
0.462	6.53125
0.463	6.953125
0.464	7.40625
0.465	7.796875
0.466	8.296875
0.467	8.765625
0.468	9.1875
0.469	9.640625
0.47	10.07812
0.471	10.51562
0.472	10.90625
0.473	11.34375
0.474	11.73438
0.475	12.07812
0.476	12.39062
0.477	12.67188
0.478	12.92188
0.479	13.29688
0.48	13.5625
0.481	13.78125
0.482	14.01562
0.483	14.21875
0.484	14.45312
0.485	14.64062
0.486	14.82812
0.487	15.01562
0.488	15.10938
0.489	15.25
0.49	15.4375
0.491	15.45312
0.492	15.60938
0.493	15.84375
0.494	15.92188
0.495	16.07812
0.496	16.1875
0.497	16.34375
0.498	16.45312
0.499	16.59375
0.5	16.70312
0.501	16.84375
0.502	16.96875
0.503	16.95312
0.504	17.07812
0.505	17.15625
0.506	17.21875
0.507	17.34375
0.508	17.34375
0.509	17.35938
0.51	17.35938
0.511	17.40625
0.512	17.4375
0.513	17.42188
0.514	17.375
0.515	17.28125
0.516	17.1875
0.517	17.0625
0.518	16.98438
0.519	16.9375
0.52	16.75
0.521	16.625
0.522	16.46875
0.523	16.3125
0.524	16.09375
0.525	15.92188
0.526	15.73438
0.527	15.5
0.528	15.3125
0.529	15.03125
0.53	14.78125
0.531	14.5
0.532	14.15625
0.533	13.875
0.534	13.53125
0.535	13.1875
0.536	12.84375
0.537	12.46875
0.538	12.10938
0.539	11.73438
0.54	11.40625
0.541	10.96875
0.542	10.54688
0.543	10.15625
0.544	9.765625
0.545	9.40625
0.546	9.015625
0.547	8.65625
0.548	8.25
0.549	7.875
0.55	7.484375
0.551	7.171875
0.552	6.890625
0.553	6.578125
0.554	6.3125
0.555	6.046875
0.556	5.78125
0.557	5.5625
0.558	5.328125
0.559	5.09375
0.56	4.84375
0.561	4.609375
0.562	4.40625
0.563	4.203125
0.564	4.0625
0.565	3.890625
0.566	3.734375
0.567	3.578125
0.568	3.453125
0.569	3.390625
0.57	3.28125
0.571	3.203125
0.572	3.109375
0.573	2.984375
0.574	2.859375
0.575	2.734375
0.576	2.65625
0.577	2.578125
0.578	2.546875
0.579	2.46875
0.58	2.4375
0.581	2.390625
0.582	2.34375
0.583	2.3125
0.584	2.28125
0.585	2.234375
0.586	2.234375
0.587	2.234375
0.588	2.171875
0.589	2.125
0.59	2.140625
0.591	2.125
0.592	2.078125
0.593	2.109375
0.594	2.15625
0.595	2.15625
0.596	2.171875
0.597	2.25
0.598	2.28125
0.599	2.296875
0.6	2.28125
0.601	2.296875
0.602	2.34375
0.603	2.328125
0.604	2.34375
0.605	2.375
0.606	2.421875
0.607	2.40625
0.608	2.40625
0.609	2.46875
0.61	2.5
0.611	2.546875
0.612	2.578125
0.613	2.625
0.614	2.6875
0.615	2.703125
0.616	2.765625
0.617	2.78125
0.618	2.796875
0.619	2.828125
0.62	2.84375
0.621	2.859375
0.622	2.875
0.623	2.90625
0.624	2.921875
0.625	2.921875
0.626	2.96875
0.627	3
0.628	3.046875
0.629	3.0625
0.63	3.0625
0.631	3.078125
0.632	3.046875
0.633	3.046875
0.634	3.046875
0.635	3.046875
0.636	3.046875
0.637	3.0625
0.638	3.0625
0.639	3.078125
0.64	3.078125
0.641	3.09375
0.642	3.078125
0.643	3.078125
0.644	3.09375
0.645	3.09375
0.646	3.0625
0.647	3.015625
0.648	2.984375
0.649	2.921875
0.65	2.859375
0.651	2.828125
0.652	2.828125
0.653	2.796875
0.654	2.796875
0.655	2.796875
0.656	2.78125
0.657	2.75
0.658	2.703125
0.659	2.6875
0.66	2.65625
0.661	2.578125
0.662	2.5625
0.663	2.53125
0.664	2.453125
0.665	2.40625
0.666	2.34375
0.667	2.265625
0.668	2.203125
0.669	2.140625
0.67	2.0625
0.671	1.984375
0.672	1.921875
0.673	1.828125
0.674	1.703125
0.675	1.609375
0.676	1.53125
0.677	1.421875
0.678	1.375
0.679	1.296875
0.68	1.21875
0.681	1.171875
0.682	1.125
0.683	1.0625
0.684	1
0.685	0.953125
0.686	0.859375
0.687	0.828125
0.688	0.8125
0.689	0.75
0.69	0.703125
0.691	0.671875
0.692	0.625
0.693	0.578125
0.694	0.578125
0.695	0.5625
0.696	0.546875
0.697	0.546875
0.698	0.578125
0.699	0.5625
0.7	0.546875
0.701	0.515625
0.702	0.5
0.703	0.484375
0.704	0.421875
0.705	0.390625
0.706	0.390625
0.707	0.34375
0.708	0.28125
0.709	0.28125
0.71	0.28125
0.711	0.265625
0.712	0.234375
0.713	0.25
0.714	0.234375
0.715	0.21875
0.716	0.203125
0.717	0.203125
0.718	0.21875
0.719	0.1875
0.72	0.1875
0.721	0.234375
0.722	0.234375
0.723	0.3125
0.724	0.375
0.725	0.4375
0.726	0.53125
0.727	0.609375
0.728	0.71875
0.729	0.828125
0.73	0.90625
0.731	1.015625
0.732	1.109375
0.733	1.15625
0.734	1.21875
0.735	1.328125
0.736	1.4375
0.737	1.5
0.738	1.59375
0.739	1.734375
0.74	1.796875
0.741	1.90625
0.742	2.03125
0.743	2.109375
0.744	2.21875
0.745	2.265625
0.746	2.359375
0.747	2.421875
0.748	2.46875
0.749	2.515625
0.75	2.578125
0.751	2.625
0.752	2.671875
0.753	2.6875
0.754	2.75
0.755	2.8125
0.756	2.828125
0.757	2.890625
0.758	2.921875
0.759	2.96875
0.76	2.953125
0.761	3
0.762	3.015625
0.763	3.03125
0.764	3.0625
0.765	3.0625
0.766	3.09375
0.767	3.125
0.768	3.125
0.769	3.171875
0.77	3.234375
0.771	3.265625
0.772	3.296875
0.773	3.328125
0.774	3.390625
0.775	3.40625
0.776	3.46875
0.777	3.515625
0.778	3.53125
0.779	3.53125
0.78	3.53125
0.781	3.5625
0.782	3.609375
0.783	3.609375
0.784	3.640625
0.785	3.671875
0.786	3.671875
0.787	3.703125
0.788	3.734375
0.789	3.765625
0.79	3.765625
0.791	3.765625
0.792	3.78125
0.793	3.796875
0.794	3.828125
0.795	3.84375
0.796	3.84375
0.797	3.859375
0.798	3.859375
0.799	3.84375
0.8	3.84375
0.801	3.84375
0.802	3.859375
0.803	3.859375
0.804	3.828125
0.805	3.859375
0.806	3.875
0.807	3.890625
0.808	3.90625
0.809	3.90625
0.81	3.921875
0.811	3.96875
0.812	3.953125
0.813	3.96875
0.814	4
0.815	4.03125
0.816	4.03125
0.817	4
0.818	4.015625
0.819	4.03125
0.82	4.015625
0.821	4.015625
0.822	4.015625
0.823	4
0.824	4
0.825	3.984375
0.826	3.96875
0.827	3.9375
0.828	3.875
0.829	3.828125
0.83	3.78125
0.831	3.71875
0.832	3.625
0.833	3.59375
0.834	3.59375
0.835	3.515625
0.836	3.46875
0.837	3.453125
0.838	3.421875
0.839	3.375
0.84	3.359375
0.841	3.3125
0.842	3.265625
0.843	3.234375
0.844	3.171875
0.845	3.109375
0.846	3.0625
0.847	2.96875
0.848	2.921875
0.849	2.84375
0.85	2.765625
0.851	2.71875
0.852	2.65625
0.853	2.5625
0.854	2.484375
0.855	2.375
0.856	2.34375
0.857	2.28125
