year,AvgTemp
1887,-7.5
1888,-6.8
1889,-7.1
1890,-7.0
1891,-6.7
1892,-6.4
1893,-6.7
1894,-6.3
1895,-6.7
1896,-6.7
1897,-6.0
1898,-5.4
1899,-6.1
1900,-5.9
1901,-7.2
1902,-6.3
1903,-6.2
1904,-5.9
1905,-6.7
1906,-6.4
1907,-6.7
1908,-7.1
1909,-7.8
1910,-7.0
1911,-6.0
1912,-6.9
1913,-6.5
1914,-6.3
1915,-7.1
1916,-6.2
1917,-6.7
1918,-6.1
1919,-7.5
1920,-4.7
1921,-5.3
1922,-6.6
1923,-6.3
1924,-6.1
1925,-6.5
1926,-5.8
1927,-5.7
1928,-5.8
1929,-6.2
1930,-5.4
1931,-6.7
1932,-5.5
1933,-6.9
1934,-5.2
1935,-6.6
1936,-5.8
1937,-6.1
1938,-5.9
1939,-6.1
1940,-7.0
1941,-7.0
1942,-6.0
1943,-5.4
1944,-6.7
1945,-5.8
1946,-5.5
1947,-5.3
1948,-5.0
1949,-5.4
1950,-5.2
1951,-5.4
1952,-6.5
1953,-5.2
1954,-6.4
1955,-6.5
1956,-7.1
1957,-5.3
1958,-5.5
1959,-5.4
1960,-6.3
1961,-5.0
1962,-7.0
1963,-6.1
1964,-5.3
1965,-6.9
1966,-6.1
1967,-5.6
1968,-6.1
1969,-6.0
1970,-6.4
1971,-5.5
1972,-5.7
1973,-6.1
1974,-6.2
1975,-5.1
1976,-6.3
1977,-5.4
1978,-6.0
1979,-5.9
1980,-6.4
1981,-6.3
1982,-5.1
1983,-4.9
1984,-6.4
1985,-5.8
1986,-5.3
1987,-5.7
1988,-5.5
1989,-4.5
1990,-4.8
1991,-5.5
1992,-4.5
1993,-5.2
1994,-4.4
1995,-5.6
1996,-5.9
1997,-5.1
1998,-5.0
1999,-4.7
2000,-4.5
2001,-5.4
2002,-4.2
2003,-4.6
2004,-5.2
2005,-5.7
2006,-4.5
2007,-4.5
2008,-4.7
