Interval=	0.001 s
ExcelDateTime=	4.3789686493178626e+04	11/20/19 16:28:33.010634
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
0	-11.07812
0.001	-11.85938
0.002	-11.10938
0.003	-11.48438
0.004	-11.03125
0.005	-11.10938
0.006	-10.90625
0.007	-10.84375
0.008	-10.75
0.009	-10.65625
0.01	-10.53125
0.011	-10.34375
0.012	-10.125
0.013	-9.875
0.014	-9.625
0.015	-9.390625
0.016	-9.1875
0.017	-8.9375
0.018	-8.703125
0.019	-8.453125
0.02	-8.140625
0.021	-7.8125
0.022	-7.4375
0.023	-7.078125
0.024	-6.71875
0.025	-6.34375
0.026	-5.9375
0.027	-5.546875
0.028	-5.15625
0.029	-4.734375
0.03	-4.3125
0.031	-3.859375
0.032	-3.421875
0.033	-3.015625
0.034	-2.625
0.035	-2.265625
0.036	-1.953125
0.037	-1.6875
0.038	-1.421875
0.039	-1.203125
0.04	-1.015625
0.041	-0.84375
0.042	-0.65625
0.043	-0.5
0.044	-0.328125
0.045	-0.171875
0.046	-0.03125
0.047	0.125
0.048	0.25
0.049	0.390625
0.05	0.5625
0.051	0.734375
0.052	0.890625
0.053	1.09375
0.054	1.296875
0.055	1.5
0.056	1.703125
0.057	1.890625
0.058	2.09375
0.059	2.265625
0.06	2.421875
0.061	2.546875
0.062	2.6875
0.063	2.8125
0.064	2.890625
0.065	2.9375
0.066	2.96875
0.067	2.96875
0.068	2.9375
0.069	2.875
0.07	2.796875
0.071	2.703125
0.072	2.5625
0.073	2.375
0.074	2.1875
0.075	1.96875
0.076	1.703125
0.077	1.421875
0.078	1.109375
0.079	0.8125
0.08	0.53125
0.081	0.234375
0.082	-0.140625
0.083	-0.5
0.084	-0.890625
0.085	-1.28125
0.086	-1.640625
0.087	-1.953125
0.088	-2.25
0.089	-2.5625
0.09	-2.90625
0.091	-3.234375
0.092	-3.515625
0.093	-3.765625
0.094	-3.984375
0.095	-4.125
0.096	-4.21875
0.097	-4.296875
0.098	-4.390625
0.099	-4.4375
0.1	-4.421875
0.101	-4.40625
0.102	-4.390625
0.103	-4.359375
0.104	-4.328125
0.105	-4.28125
0.106	-4.28125
0.107	-4.265625
0.108	-4.265625
0.109	-4.296875
0.11	-4.375
0.111	-4.515625
0.112	-4.6875
0.113	-4.875
0.114	-5.09375
0.115	-5.34375
0.116	-5.609375
0.117	-5.875
0.118	-6.203125
0.119	-6.5625
0.12	-6.90625
0.121	-7.265625
0.122	-7.65625
0.123	-8.046875
0.124	-8.46875
0.125	-8.875
0.126	-9.28125
0.127	-9.71875
0.128	-10.125
0.129	-10.51562
0.13	-10.85938
0.131	-11.1875
0.132	-11.53125
0.133	-11.84375
0.134	-12.14062
0.135	-12.42188
0.136	-12.67188
0.137	-12.89062
0.138	-13.07812
0.139	-13.28125
0.14	-13.51562
0.141	-13.71875
0.142	-13.85938
0.143	-14.01562
0.144	-14.17188
0.145	-14.3125
0.146	-14.45312
0.147	-14.625
0.148	-14.76562
0.149	-14.9375
0.15	-15.125
0.151	-15.32812
0.152	-15.5625
0.153	-15.78125
0.154	-15.96875
0.155	-16.14062
0.156	-16.3125
0.157	-16.51562
0.158	-16.6875
0.159	-16.875
0.16	-17.04688
0.161	-17.1875
0.162	-17.32812
0.163	-17.4375
0.164	-17.53125
0.165	-17.64062
0.166	-17.75
0.167	-17.82812
0.168	-17.90625
0.169	-17.98438
0.17	-18
0.171	-18.01562
0.172	-18.04688
0.173	-18.07812
0.174	-18.10938
0.175	-18.125
0.176	-18.14062
0.177	-18.14062
0.178	-18.14062
0.179	-18.125
0.18	-18.10938
0.181	-18.09375
0.182	-18.125
0.183	-18.15625
0.184	-18.23438
0.185	-18.35938
0.186	-18.45312
0.187	-18.53125
0.188	-18.54688
0.189	-18.57812
0.19	-18.65625
0.191	-18.71875
0.192	-18.75
0.193	-18.79688
0.194	-18.82812
0.195	-18.79688
0.196	-18.73438
0.197	-18.625
0.198	-18.51562
0.199	-18.39062
0.2	-18.23438
0.201	-18.0625
0.202	-17.92188
0.203	-17.75
0.204	-17.5625
0.205	-17.39062
0.206	-17.21875
0.207	-17.07812
0.208	-16.90625
0.209	-16.75
0.21	-16.64062
0.211	-16.5625
0.212	-16.48438
0.213	-16.42188
0.214	-16.35938
0.215	-16.34375
0.216	-16.32812
0.217	-16.32812
0.218	-16.35938
0.219	-16.4375
0.22	-16.51562
0.221	-16.60938
0.222	-16.75
0.223	-16.92188
0.224	-17.10938
0.225	-17.28125
0.226	-17.46875
0.227	-17.67188
0.228	-17.875
0.229	-18.07812
0.23	-18.29688
0.231	-18.53125
0.232	-18.8125
0.233	-19.03125
0.234	-19.1875
0.235	-19.3125
0.236	-19.40625
0.237	-19.46875
0.238	-19.48438
0.239	-19.5
0.24	-19.46875
0.241	-19.40625
0.242	-19.28125
0.243	-19.125
0.244	-18.95312
0.245	-18.76562
0.246	-18.51562
0.247	-18.25
0.248	-18.04688
0.249	-17.8125
0.25	-17.60938
0.251	-17.42188
0.252	-17.25
0.253	-17.07812
0.254	-16.9375
0.255	-16.79688
0.256	-16.70312
0.257	-16.64062
0.258	-16.60938
0.259	-16.625
0.26	-16.67188
0.261	-16.75
0.262	-16.84375
0.263	-16.9375
0.264	-17.04688
0.265	-17.1875
0.266	-17.3125
0.267	-17.4375
0.268	-17.59375
0.269	-17.78125
0.27	-17.96875
0.271	-18.10938
0.272	-18.26562
0.273	-18.42188
0.274	-18.57812
0.275	-18.70312
0.276	-18.79688
0.277	-18.85938
0.278	-18.89062
0.279	-18.89062
0.28	-18.89062
0.281	-18.875
0.282	-18.85938
0.283	-18.8125
0.284	-18.75
0.285	-18.70312
0.286	-18.65625
0.287	-18.54688
0.288	-18.40625
0.289	-18.26562
0.29	-18.14062
0.291	-18
0.292	-17.85938
0.293	-17.70312
0.294	-17.5625
0.295	-17.39062
0.296	-17.1875
0.297	-16.95312
0.298	-16.75
0.299	-16.57812
0.3	-16.40625
0.301	-16.23438
0.302	-16.07812
0.303	-15.92188
0.304	-15.73438
0.305	-15.5625
0.306	-15.42188
0.307	-15.3125
0.308	-15.23438
0.309	-15.15625
0.31	-15.10938
0.311	-15.09375
0.312	-15.07812
0.313	-15.0625
0.314	-15.04688
0.315	-15.0625
0.316	-15.09375
0.317	-15.14062
0.318	-15.23438
0.319	-15.29688
0.32	-15.35938
0.321	-15.42188
0.322	-15.48438
0.323	-15.57812
0.324	-15.59375
0.325	-15.59375
0.326	-15.6875
0.327	-15.6875
0.328	-15.625
0.329	-15.59375
0.33	-15.60938
0.331	-15.6875
0.332	-15.79688
0.333	-15.85938
0.334	-15.90625
0.335	-16.01562
0.336	-16.14062
0.337	-16.26562
0.338	-16.42188
0.339	-16.625
0.34	-16.85938
0.341	-17.10938
0.342	-17.32812
0.343	-17.53125
0.344	-17.75
0.345	-17.9375
0.346	-18.10938
0.347	-18.25
0.348	-18.39062
0.349	-18.51562
0.35	-18.57812
0.351	-18.59375
0.352	-18.60938
0.353	-18.625
0.354	-18.60938
0.355	-18.54688
0.356	-18.48438
0.357	-18.42188
0.358	-18.32812
0.359	-18.25
0.36	-18.17188
0.361	-18.09375
0.362	-18
0.363	-17.875
0.364	-17.71875
0.365	-17.57812
0.366	-17.45312
0.367	-17.32812
0.368	-17.20312
0.369	-17.07812
0.37	-16.92188
0.371	-16.78125
0.372	-16.67188
0.373	-16.60938
0.374	-16.59375
0.375	-16.59375
0.376	-16.60938
0.377	-16.67188
0.378	-16.70312
0.379	-16.71875
0.38	-16.71875
0.381	-16.71875
0.382	-16.76562
0.383	-16.79688
0.384	-16.82812
0.385	-16.85938
0.386	-16.875
0.387	-16.85938
0.388	-16.82812
0.389	-16.78125
0.39	-16.76562
0.391	-16.71875
0.392	-16.70312
0.393	-16.65625
0.394	-16.59375
0.395	-16.5
0.396	-16.39062
0.397	-16.28125
0.398	-16.20312
0.399	-16.14062
0.4	-16.07812
0.401	-16
0.402	-15.92188
0.403	-15.8125
0.404	-15.71875
0.405	-15.60938
0.406	-15.51562
0.407	-15.40625
0.408	-15.3125
0.409	-15.1875
0.41	-15.07812
0.411	-14.95312
0.412	-14.79688
0.413	-14.65625
0.414	-14.45312
0.415	-14.29688
0.416	-12.92188
0.417	-11.42188
0.418	-12.32812
0.419	-13.60938
0.42	-13.84375
0.421	-13.5
0.422	-13.04688
0.423	-13.04688
0.424	-13.29688
0.425	-13.60938
0.426	-13.76562
0.427	-13.65625
0.428	-13.40625
0.429	-13.1875
0.43	-13.125
0.431	-13.20312
0.432	-13.25
0.433	-13.17188
0.434	-12.90625
0.435	-12.51562
0.436	-12.03125
0.437	-11.48438
0.438	-10.85938
0.439	-10.14062
0.44	-9.3125
0.441	-8.359375
0.442	-7.28125
0.443	-6.09375
0.444	-4.765625
0.445	-3.3125
0.446	-1.71875
0.447	-0.015625
0.448	1.78125
0.449	3.640625
0.45	5.609375
0.451	7.609375
0.452	9.640625
0.453	11.71875
0.454	13.82812
0.455	15.90625
0.456	17.95312
0.457	19.95312
0.458	21.9375
0.459	23.89062
0.46	25.79688
0.461	27.65625
0.462	29.46875
0.463	31.21875
0.464	32.90625
0.465	34.51562
0.466	36.07812
0.467	37.60938
0.468	39.0625
0.469	40.42188
0.47	41.75
0.471	43.03125
0.472	44.23438
0.473	45.375
0.474	46.42188
0.475	47.42188
0.476	48.375
0.477	49.25
0.478	50.125
0.479	50.96875
0.48	51.78125
0.481	52.51562
0.482	53.20312
0.483	53.82812
0.484	54.40625
0.485	54.9375
0.486	55.40625
0.487	55.84375
0.488	56.23438
0.489	56.57812
0.49	56.875
0.491	57.07812
0.492	57.25
0.493	57.35938
0.494	57.42188
0.495	57.51562
0.496	57.57812
0.497	57.57812
0.498	57.53125
0.499	57.42188
0.5	57.3125
0.501	57.17188
0.502	57.01562
0.503	56.84375
0.504	56.65625
0.505	56.40625
0.506	56.09375
0.507	55.76562
0.508	55.40625
0.509	55.0625
0.51	54.65625
0.511	54.23438
0.512	53.8125
0.513	53.35938
0.514	52.84375
0.515	52.26562
0.516	51.65625
0.517	51
0.518	50.29688
0.519	49.54688
0.52	48.75
0.521	47.9375
