Interval=	0.001 s
ExcelDateTime=	4.3789695451030566e+04	11/20/19 16:41:26.969041
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
0	-14.79688
0.001	-15.40625
0.002	-14.20312
0.003	-14.34375
0.004	-13.125
0.005	-12.70312
0.006	-12.20312
0.007	-11.84375
0.008	-11.3125
0.009	-11.125
0.01	-10.85938
0.011	-10.59375
0.012	-10.54688
0.013	-10.53125
0.014	-10.875
0.015	-11.23438
0.016	-11.35938
0.017	-11.71875
0.018	-12.15625
0.019	-12.53125
0.02	-12.90625
0.021	-13.375
0.022	-13.875
0.023	-14.07812
0.024	-14.54688
0.025	-15.04688
0.026	-15.17188
0.027	-15.57812
0.028	-16.07812
0.029	-16.29688
0.03	-16.375
0.031	-16.84375
0.032	-17.29688
0.033	-17.3125
0.034	-17.57812
0.035	-18.03125
0.036	-18.25
0.037	-18.39062
0.038	-18.6875
0.039	-19.15625
0.04	-19.3125
0.041	-19.39062
0.042	-19.75
0.043	-20.04688
0.044	-20.0625
0.045	-20.03125
0.046	-20.42188
0.047	-20.67188
0.048	-20.45312
0.049	-20.71875
0.05	-21.03125
0.051	-20.75
0.052	-20.40625
0.053	-20.25
0.054	-19.84375
0.055	-19.26562
0.056	-19.14062
0.057	-18.96875
0.058	-18.48438
0.059	-18.21875
0.06	-17.85938
0.061	-17.42188
0.062	-17.01562
0.063	-16.65625
0.064	-16.20312
0.065	-15.73438
0.066	-15.29688
0.067	-14.57812
0.068	-13.98438
0.069	-13.39062
0.07	-12.51562
0.071	-11.82812
0.072	-11.23438
0.073	-10.46875
0.074	-9.65625
0.075	-9
0.076	-8.390625
0.077	-7.609375
0.078	-6.953125
0.079	-6.359375
0.08	-5.546875
0.081	-4.78125
0.082	-4.234375
0.083	-3.6875
0.084	-3
0.085	-2.515625
0.086	-2
0.087	-1.359375
0.088	-0.84375
0.089	-0.28125
0.09	0.171875
0.091	0.5
0.092	0.984375
0.093	1.578125
0.094	2.109375
0.095	2.53125
0.096	3.15625
0.097	3.8125
0.098	4.3125
0.099	4.984375
0.1	5.6875
0.101	6.28125
0.102	6.875
0.103	7.484375
0.104	8.109375
0.105	8.6875
0.106	9.25
0.107	9.78125
0.108	10.3125
0.109	10.8125
0.11	11.15625
0.111	11.46875
0.112	11.78125
0.113	12.07812
0.114	12.28125
0.115	12.5
0.116	12.82812
0.117	12.98438
0.118	13.25
0.119	13.65625
0.12	13.92188
0.121	14.125
0.122	14.53125
0.123	15.04688
0.124	15.32812
0.125	15.75
0.126	16.4375
0.127	16.89062
0.128	17.20312
0.129	17.6875
0.13	18.23438
0.131	18.46875
0.132	18.70312
0.133	19.15625
0.134	19.45312
0.135	19.67188
0.136	19.96875
0.137	20.34375
0.138	20.84375
0.139	21.29688
0.14	21.82812
0.141	22.5
0.142	23.29688
0.143	24.04688
0.144	24.75
0.145	25.75
0.146	26.75
0.147	27.5625
0.148	28.5
0.149	29.5625
0.15	30.54688
0.151	31.46875
0.152	32.42188
0.153	33.35938
0.154	34.26562
0.155	35.0625
0.156	35.6875
0.157	36.39062
0.158	37.125
0.159	37.67188
0.16	38.15625
0.161	38.76562
0.162	39.29688
0.163	39.64062
0.164	40.03125
0.165	40.375
0.166	40.625
0.167	40.90625
0.168	41.125
0.169	41.40625
0.17	41.57812
0.171	41.73438
0.172	42.01562
0.173	42.09375
0.174	42.25
0.175	42.48438
0.176	42.64062
0.177	42.76562
0.178	42.89062
0.179	43.21875
0.18	43.34375
0.181	43.25
0.182	43.5625
0.183	43.70312
0.184	43.59375
0.185	43.51562
0.186	43.75
0.187	43.71875
0.188	43.42188
0.189	43.57812
0.19	43.73438
0.191	43.59375
0.192	43.40625
0.193	43.64062
0.194	43.65625
0.195	43.4375
0.196	43.48438
0.197	43.625
0.198	43.42188
0.199	43.20312
0.2	43.20312
0.201	43.09375
0.202	42.90625
0.203	42.73438
0.204	42.67188
0.205	42.53125
0.206	42.17188
0.207	41.98438
0.208	41.79688
0.209	41.40625
0.21	41.14062
0.211	40.96875
0.212	40.60938
0.213	40.125
0.214	39.875
0.215	39.70312
0.216	39.10938
0.217	38.85938
0.218	38.60938
0.219	38.17188
0.22	37.78125
0.221	37.54688
0.222	37.23438
0.223	36.73438
0.224	36.46875
0.225	36.125
0.226	35.73438
0.227	35.34375
0.228	35.125
0.229	34.875
0.23	34.45312
0.231	34.20312
0.232	33.98438
0.233	33.6875
0.234	33.375
0.235	33.20312
0.236	33.01562
0.237	32.75
0.238	32.40625
0.239	32.125
0.24	31.85938
0.241	31.35938
0.242	31.03125
0.243	30.64062
0.244	30.125
0.245	29.54688
0.246	29.03125
0.247	28.64062
0.248	28
0.249	27.40625
0.25	26.875
0.251	26.32812
0.252	25.65625
0.253	24.95312
0.254	24.375
0.255	23.76562
0.256	23.04688
0.257	22.39062
0.258	21.76562
0.259	21.15625
0.26	20.34375
0.261	19.65625
0.262	19.0625
0.263	18.23438
0.264	17.32812
0.265	16.46875
0.266	15.625
0.267	14.65625
0.268	13.6875
0.269	12.82812
0.27	11.82812
0.271	10.78125
0.272	9.84375
0.273	8.90625
0.274	7.9375
0.275	6.921875
0.276	5.9375
0.277	4.96875
0.278	4.03125
0.279	3.140625
0.28	2.15625
0.281	1.265625
0.282	0.453125
0.283	-0.46875
0.284	-1.34375
0.285	-2.140625
0.286	-2.875
0.287	-3.609375
0.288	-4.34375
0.289	-5
0.29	-5.65625
0.291	-6.359375
0.292	-6.96875
0.293	-7.59375
0.294	-8.25
0.295	-8.796875
0.296	-9.3125
0.297	-9.90625
0.298	-10.46875
0.299	-10.89062
0.3	-11.39062
0.301	-11.85938
0.302	-12.17188
0.303	-12.51562
0.304	-12.85938
0.305	-13.10938
0.306	-13.35938
0.307	-13.64062
0.308	-13.85938
0.309	-14.04688
0.31	-14.25
0.311	-14.35938
0.312	-14.48438
0.313	-14.70312
0.314	-14.75
0.315	-14.79688
0.316	-14.95312
0.317	-15.03125
0.318	-15.04688
0.319	-15
0.32	-15.09375
0.321	-15.10938
0.322	-15.09375
0.323	-15.125
0.324	-15.20312
0.325	-15.25
0.326	-15.20312
0.327	-15.23438
0.328	-15.3125
0.329	-15.32812
0.33	-15.34375
0.331	-15.35938
0.332	-15.40625
0.333	-15.34375
0.334	-15.21875
0.335	-15.28125
0.336	-15.375
0.337	-15.35938
0.338	-15.40625
0.339	-15.5
0.34	-15.5
0.341	-15.5
0.342	-15.5
0.343	-15.5
0.344	-15.48438
0.345	-15.60938
0.346	-15.59375
0.347	-15.5
0.348	-15.5625
0.349	-15.64062
0.35	-15.51562
0.351	-15.39062
0.352	-15.46875
0.353	-15.5625
0.354	-15.46875
0.355	-15.32812
0.356	-15.42188
0.357	-15.45312
0.358	-15.25
0.359	-14.9375
0.36	-14.95312
0.361	-14.89062
0.362	-14.5625
0.363	-14.20312
0.364	-14.04688
0.365	-13.89062
0.366	-13.45312
0.367	-13.03125
0.368	-12.6875
0.369	-12.40625
0.37	-11.96875
0.371	-11.53125
0.372	-11.14062
0.373	-10.84375
0.374	-10.42188
0.375	-9.8125
0.376	-9.328125
0.377	-8.859375
0.378	-8.375
0.379	-7.71875
0.38	-7.125
0.381	-6.65625
0.382	-6.0625
0.383	-5.40625
0.384	-4.703125
0.385	-4.046875
0.386	-3.34375
0.387	-2.59375
0.388	-1.84375
0.389	-1.125
0.39	-0.4375
0.391	0.203125
0.392	0.828125
0.393	1.53125
0.394	2.140625
0.395	2.734375
0.396	3.40625
0.397	4.03125
0.398	4.578125
0.399	5.109375
0.4	5.703125
0.401	6.234375
0.402	6.78125
0.403	7.359375
0.404	7.90625
0.405	8.4375
0.406	8.96875
0.407	9.53125
0.408	9.953125
0.409	10.4375
0.41	10.92188
0.411	11.15625
0.412	11.40625
0.413	11.78125
0.414	12
0.415	12.09375
0.416	12.34375
0.417	12.64062
0.418	12.6875
0.419	12.73438
0.42	12.9375
0.421	13.03125
0.422	12.96875
0.423	12.96875
0.424	13.0625
0.425	13
0.426	12.82812
0.427	12.8125
0.428	12.8125
0.429	12.59375
0.43	12.39062
0.431	12.4375
0.432	12.28125
0.433	11.96875
0.434	11.875
0.435	11.92188
0.436	11.6875
0.437	11.48438
0.438	11.51562
0.439	11.39062
0.44	11.10938
0.441	11.01562
0.442	10.96875
0.443	10.82812
0.444	10.71875
0.445	10.67188
0.446	10.67188
0.447	10.625
0.448	10.54688
0.449	10.51562
0.45	10.4375
0.451	10.32812
0.452	10.26562
0.453	10.17188
0.454	9.96875
0.455	9.796875
0.456	9.703125
0.457	9.46875
0.458	9.21875
0.459	9.140625
0.46	8.984375
0.461	8.703125
0.462	8.53125
0.463	8.5
0.464	8.296875
0.465	8
0.466	7.90625
0.467	7.78125
0.468	7.578125
0.469	7.5
0.47	7.40625
0.471	7.265625
0.472	7.25
0.473	7.140625
0.474	6.921875
