Interval=	0.001 s
ExcelDateTime=	4.3789698858673677e+04	11/20/19 16:46:21.389406
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
0	-0.0625
0.001	-0.140625
0.002	-0.25
0.003	-0.390625
0.004	-0.515625
0.005	-0.625
0.006	-0.75
0.007	-0.875
0.008	-1
0.009	-1.125
0.01	-1.265625
0.011	-1.40625
0.012	-1.578125
0.013	-1.734375
0.014	-1.875
0.015	-1.984375
0.016	-2.109375
0.017	-2.203125
0.018	-2.265625
0.019	-2.328125
0.02	-2.390625
0.021	-2.4375
0.022	-2.46875
0.023	-2.5
0.024	-2.515625
0.025	-2.5
0.026	-2.5
0.027	-2.5
0.028	-2.5
0.029	-2.484375
0.03	-2.484375
0.031	-2.484375
0.032	-2.46875
0.033	-2.4375
0.034	-2.421875
0.035	-2.453125
0.036	-2.484375
0.037	-2.515625
0.038	-2.546875
0.039	-2.609375
0.04	-2.671875
0.041	-2.703125
0.042	-2.75
0.043	-2.765625
0.044	-2.8125
0.045	-2.859375
0.046	-2.90625
0.047	-2.953125
0.048	-2.984375
0.049	-2.984375
0.05	-2.9375
0.051	-2.890625
0.052	-2.84375
0.053	-2.796875
0.054	-2.75
0.055	-2.6875
0.056	-2.625
0.057	-2.5625
0.058	-2.484375
0.059	-2.4375
0.06	-2.390625
0.061	-2.359375
0.062	-2.328125
0.063	-2.3125
0.064	-2.265625
0.065	-2.234375
0.066	-2.234375
0.067	-2.140625
0.068	-2.0625
0.069	-2.0625
0.07	-1.953125
0.071	-1.84375
0.072	-1.84375
0.073	-1.734375
0.074	-1.609375
0.075	-1.609375
0.076	-1.5
0.077	-1.359375
0.078	-1.328125
0.079	-1.21875
0.08	-1.0625
0.081	-1.015625
0.082	-0.96875
0.083	-0.859375
0.084	-0.8125
0.085	-0.84375
0.086	-0.8125
0.087	-0.796875
0.088	-0.890625
0.089	-0.9375
0.09	-0.9375
0.091	-0.953125
0.092	-0.984375
0.093	-1
0.094	-0.921875
0.095	-0.90625
0.096	-0.984375
0.097	-0.859375
0.098	-0.75
0.099	-0.859375
0.1	-0.734375
0.101	-0.515625
0.102	-0.578125
0.103	-0.53125
0.104	-0.265625
0.105	-0.203125
0.106	-0.203125
0.107	0.03125
0.108	0.140625
0.109	0.125
0.11	0.296875
0.111	0.40625
0.112	0.328125
0.113	0.390625
0.114	0.484375
0.115	0.40625
0.116	0.421875
0.117	0.53125
0.118	0.453125
0.119	0.40625
0.12	0.484375
0.121	0.46875
0.122	0.4375
0.123	0.53125
0.124	0.578125
0.125	0.609375
0.126	0.6875
0.127	0.734375
0.128	0.765625
0.129	0.796875
0.13	0.859375
0.131	0.875
0.132	0.953125
0.133	1
0.134	1.015625
0.135	1.09375
0.136	1.15625
0.137	1.140625
0.138	1.1875
0.139	1.25
0.14	1.21875
0.141	1.21875
0.142	1.296875
0.143	1.265625
0.144	1.234375
0.145	1.328125
0.146	1.328125
0.147	1.28125
0.148	1.34375
0.149	1.375
0.15	1.34375
0.151	1.390625
0.152	1.453125
0.153	1.375
0.154	1.375
0.155	1.4375
0.156	1.390625
0.157	1.375
0.158	1.40625
0.159	1.34375
0.16	1.3125
0.161	1.28125
0.162	1.25
0.163	1.21875
0.164	1.15625
0.165	1.09375
0.166	1.0625
0.167	1.015625
0.168	0.953125
0.169	0.9375
0.17	0.90625
0.171	0.828125
0.172	0.765625
0.173	0.734375
0.174	0.65625
0.175	0.5625
0.176	0.515625
0.177	0.453125
0.178	0.375
0.179	0.359375
0.18	0.359375
0.181	0.3125
0.182	0.296875
0.183	0.28125
0.184	0.265625
0.185	0.21875
0.186	0.140625
0.187	0.09375
0.188	0.015625
0.189	-0.09375
0.19	-0.171875
0.191	-0.265625
0.192	-0.375
0.193	-0.484375
0.194	-0.59375
0.195	-0.71875
0.196	-0.84375
0.197	-0.984375
0.198	-1.109375
0.199	-1.21875
0.2	-1.34375
0.201	-1.390625
0.202	-1.5
0.203	-1.578125
0.204	-1.59375
0.205	-1.6875
0.206	-1.65625
0.207	-1.6875
0.208	-1.71875
0.209	-1.671875
0.21	-1.6875
0.211	-1.6875
0.212	-1.65625
0.213	-1.625
0.214	-1.65625
0.215	-1.5625
0.216	-1.515625
0.217	-1.515625
0.218	-1.359375
0.219	-1.328125
0.22	-1.21875
0.221	-1.09375
0.222	-0.96875
0.223	-0.84375
0.224	-0.75
0.225	-0.578125
0.226	-0.53125
0.227	-0.40625
0.228	-0.328125
0.229	-0.28125
0.23	-0.1875
0.231	-0.171875
0.232	-0.078125
0.233	-0.078125
0.234	-0.015625
0.235	0
0.236	0.03125
0.237	0.109375
0.238	0.0625
0.239	0.171875
0.24	0.203125
0.241	0.15625
0.242	0.234375
0.243	0.234375
0.244	0.09375
0.245	0.078125
0.246	0.109375
0.247	-0.109375
0.248	-0.171875
0.249	-0.171875
0.25	-0.453125
0.251	-0.609375
0.252	-0.625
0.253	-0.953125
0.254	-1.203125
0.255	-1.21875
0.256	-1.546875
0.257	-1.78125
0.258	-1.8125
0.259	-2.15625
0.26	-2.375
0.261	-2.4375
0.262	-2.75
0.263	-2.96875
0.264	-2.96875
0.265	-3.25
0.266	-3.46875
0.267	-3.390625
0.268	-3.671875
0.269	-3.828125
0.27	-3.6875
0.271	-3.90625
0.272	-3.953125
0.273	-3.6875
0.274	-3.921875
0.275	-3.9375
0.276	-3.65625
0.277	-3.953125
0.278	-3.96875
0.279	-3.671875
0.28	-3.96875
0.281	-3.984375
0.282	-3.65625
0.283	-3.90625
0.284	-3.921875
0.285	-3.578125
0.286	-3.828125
0.287	-3.8125
0.288	-3.421875
0.289	-3.609375
0.29	-3.515625
0.291	-3.140625
0.292	-3.25
0.293	-3.15625
0.294	-2.875
0.295	-2.96875
0.296	-2.921875
0.297	-2.640625
0.298	-2.71875
0.299	-2.71875
0.3	-2.453125
0.301	-2.546875
0.302	-2.59375
0.303	-2.375
0.304	-2.5
0.305	-2.5625
0.306	-2.390625
0.307	-2.546875
0.308	-2.59375
0.309	-2.484375
0.31	-2.625
0.311	-2.640625
0.312	-2.625
0.313	-2.75
0.314	-2.734375
0.315	-2.765625
0.316	-2.875
0.317	-2.84375
0.318	-2.890625
0.319	-2.984375
0.32	-2.96875
0.321	-3.015625
0.322	-3.078125
0.323	-3.078125
0.324	-3.1875
0.325	-3.296875
0.326	-3.328125
0.327	-3.46875
0.328	-3.5625
0.329	-3.65625
0.33	-3.8125
0.331	-3.828125
0.332	-3.921875
0.333	-4
0.334	-3.96875
0.335	-4.0625
0.336	-4.078125
0.337	-4.015625
0.338	-4.078125
0.339	-4.03125
0.34	-3.890625
0.341	-3.984375
0.342	-3.90625
0.343	-3.734375
0.344	-3.890625
0.345	-3.78125
0.346	-3.640625
0.347	-3.875
0.348	-3.6875
0.349	-3.546875
0.35	-3.828125
0.351	-3.640625
0.352	-3.546875
0.353	-3.859375
0.354	-3.625
0.355	-3.5625
0.356	-3.828125
0.357	-3.53125
0.358	-3.53125
0.359	-3.6875
0.36	-3.421875
0.361	-3.53125
0.362	-3.59375
0.363	-3.296875
0.364	-3.4375
0.365	-3.453125
0.366	-3.140625
0.367	-3.34375
0.368	-3.328125
0.369	-3.0625
0.37	-3.3125
0.371	-3.25
0.372	-2.984375
0.373	-3.171875
0.374	-3.125
0.375	-2.921875
0.376	-3.0625
0.377	-3.015625
0.378	-2.9375
0.379	-3.03125
0.38	-2.953125
0.381	-2.921875
0.382	-2.921875
0.383	-2.875
0.384	-2.9375
0.385	-2.84375
0.386	-2.78125
0.387	-2.875
0.388	-2.65625
0.389	-2.546875
0.39	-2.65625
0.391	-2.390625
0.392	-2.328125
0.393	-2.515625
0.394	-2.296875
0.395	-2.328125
0.396	-2.546875
0.397	-2.390625
0.398	-2.46875
0.399	-2.671875
0.4	-2.484375
0.401	-2.59375
0.402	-2.765625
0.403	-2.59375
0.404	-2.71875
0.405	-2.875
0.406	-2.703125
0.407	-2.796875
0.408	-2.90625
0.409	-2.75
0.41	-2.859375
0.411	-2.96875
0.412	-2.890625
0.413	-2.96875
0.414	-3.03125
0.415	-2.953125
0.416	-3
0.417	-3.03125
0.418	-2.984375
0.419	-3.046875
0.42	-3.046875
0.421	-3.015625
0.422	-3.09375
0.423	-3.046875
0.424	-3.0625
0.425	-3.25
0.426	-3.234375
0.427	-3.296875
0.428	-3.515625
0.429	-3.46875
0.43	-3.578125
0.431	-3.71875
0.432	-3.640625
0.433	-3.8125
0.434	-3.875
0.435	-3.8125
0.436	-4
0.437	-4.046875
0.438	-3.9375
0.439	-4.125
0.44	-4.125
0.441	-4.015625
0.442	-4.1875
0.443	-4.203125
0.444	-4.15625
0.445	-4.34375
0.446	-4.40625
0.447	-4.40625
0.448	-4.59375
0.449	-4.703125
0.45	-4.734375
0.451	-4.9375
0.452	-5.09375
0.453	-5.109375
0.454	-5.328125
0.455	-5.5
0.456	-5.453125
0.457	-5.59375
0.458	-5.703125
0.459	-5.59375
0.46	-5.65625
0.461	-5.703125
0.462	-5.546875
0.463	-5.5625
0.464	-5.578125
0.465	-5.390625
0.466	-5.390625
0.467	-5.421875
0.468	-5.265625
0.469	-5.296875
0.47	-5.375
0.471	-5.234375
0.472	-5.25
0.473	-5.34375
0.474	-5.28125
0.475	-5.3125
0.476	-5.453125
0.477	-5.46875
0.478	-5.5625
0.479	-5.75
0.48	-5.796875
0.481	-5.859375
0.482	-5.984375
0.483	-5.96875
0.484	-5.921875
0.485	-5.96875
0.486	-5.90625
0.487	-5.8125
0.488	-5.765625
0.489	-5.65625
0.49	-5.484375
0.491	-5.40625
0.492	-5.296875
0.493	-5.09375
0.494	-5.0625
0.495	-5
0.496	-4.828125
0.497	-4.875
0.498	-4.84375
0.499	-4.71875
0.5	-4.84375
0.501	-4.84375
0.502	-4.765625
0.503	-4.9375
0.504	-4.984375
0.505	-4.953125
0.506	-5.125
0.507	-5.15625
0.508	-5.140625
0.509	-5.296875
0.51	-5.328125
0.511	-5.359375
0.512	-5.484375
0.513	-5.53125
0.514	-5.546875
0.515	-5.625
0.516	-5.65625
0.517	-5.625
0.518	-5.625
0.519	-5.640625
0.52	-5.59375
0.521	-5.5625
0.522	-5.578125
0.523	-5.515625
0.524	-5.453125
0.525	-5.46875
0.526	-5.359375
0.527	-5.296875
0.528	-5.34375
0.529	-5.296875
0.53	-5.28125
0.531	-5.296875
0.532	-5.265625
0.533	-5.265625
0.534	-5.265625
0.535	-5.25
0.536	-5.265625
0.537	-5.25
0.538	-5.234375
0.539	-5.171875
0.54	-5.0625
0.541	-5
0.542	-4.875
0.543	-4.703125
0.544	-4.640625
0.545	-4.484375
0.546	-4.328125
0.547	-4.28125
0.548	-4.078125
0.549	-3.921875
0.55	-3.859375
0.551	-3.671875
0.552	-3.609375
0.553	-3.625
0.554	-3.5
0.555	-3.5
0.556	-3.5625
0.557	-3.46875
0.558	-3.5
0.559	-3.609375
0.56	-3.5625
0.561	-3.6875
0.562	-3.8125
0.563	-3.796875
0.564	-3.9375
0.565	-4.046875
0.566	-4.0625
0.567	-4.203125
0.568	-4.265625
0.569	-4.28125
0.57	-4.390625
0.571	-4.390625
0.572	-4.390625
0.573	-4.46875
0.574	-4.4375
0.575	-4.46875
0.576	-4.5
0.577	-4.46875
0.578	-4.578125
0.579	-4.625
0.58	-4.59375
0.581	-4.6875
0.582	-4.578125
0.583	-4.359375
0.584	-4.171875
0.585	-3.8125
0.586	-3.46875
0.587	-3.109375
0.588	-2.5625
